Units,Dollars,Comic-book Title,Issue,Price,Publisher,Est. units
833,733,Fantastic Four,7,$3.99,Marvel,"33,648"
834,518,Fantastic Four,5,$4.99,Marvel,"33,571"
837,737,Captain America,24,$3.99,Marvel,"33,507"
838,738,Hulk,6,$3.99,Marvel,"33,478"
839,521,Daredevil,0.1,$4.99,Marvel,"33,469"
840,742,X-Force,2,$3.99,Marvel,"33,460"
841,739,Captain America,15,$3.99,Marvel,"33,417"
842,740,Death of Wolverine Weapon X Program,2,$3.99,Marvel,"33,414"
843,748,All New Invaders,2,$3.99,Marvel,"33,382"
846,746,Wolverine and X-Men,6,$3.99,Marvel,"33,279"
847,1104,Ms Marvel,9,$2.99,Marvel,"33,217"
848,761,Miles Morales Ultimate Spider-Man,6,$3.99,Marvel,"33,211"
849,751,Fantastic Four,4,$3.99,Marvel,"33,204"
851,747,Indestructible Hulk,18.INH,$3.99,Marvel,"33,193"
852,756,Inhuman,5,$3.99,Marvel,"33,186"
853,750,Fantastic Four,6,$3.99,Marvel,"33,178"
854,752,Amazing X-Men,12,$3.99,Marvel,"33,174"
855,753,Silver Surfer,4,$3.99,Marvel,"33,171"
858,743,Deadpools Art of War,3,$3.99,Marvel,"33,151"
860,759,Magneto,6,$3.99,Marvel,"33,067"
862,971,Iron Patriot,1,$3.99,Marvel,"33,044"
864,763,X-Men,20,$3.99,Marvel,"32,961"
867,766,Legendary Star Lord,6,$3.99,Marvel,"32,863"
870,765,Magneto,5,$3.99,Marvel,"32,803"
872,764,Original Sins,4,$3.99,Marvel,"32,726"
873,773,Miles Morales Ultimate Spider-Man,7,$3.99,Marvel,"32,712"
875,767,Wolverine and X-Men,5,$3.99,Marvel,"32,709"
876,1121,Ms Marvel,8,$2.99,Marvel,"32,702"
879,774,Daredevil,10,$3.99,Marvel,"32,634"
880,771,Axis Revolutions,1,$3.99,Marvel,"32,598"
881,779,Bucky Barnes Winter Soldier,2,$3.99,Marvel,"32,570"
882,1347,Avengers Undercover,1,$2.99,Marvel,"32,559"
